Trial,Acc. Value,Avg Trade Size,Median Trade Size,Avg Hold (hrs),Median Hold (hrs),% Long,Expected Value,Median Leverage,Avg Leverage
1,10506.62475,5776.2254,5586,26.72,20,100,26.055687299999935,10,10
2,8923.091228,6410.7762,6623.975,24.4,14,100,-47.45678809999997,10,10
3,9630.439697999996,6842.467600000001,8412.2,30.88,32,100,-7.919311800000007,10,10
4,9674.042311499994,6109.007037037037,8412.2,26.962962962962962,20,100,-5.929953962962999,10,10
5,10786.684347499997,6851.280555555555,8925.175,32.666666666666664,32,100,50.58297083333327,10,10
6,9594.102602000004,5868.726346153847,6620.6,26.76923076923077,16,100,-9.734663173076937,10,10
7,9990.816705499998,5859.274229166666,6437.95,29,16,100,5.515378510416667,10,10
8,11042.220435000003,7377.466818181818,9511.75,33.81818181818182,20,100,54.780357499999994,10,10
9,11228.607859999998,4376.523636363637,1463.95,35.81818181818182,18,100,60.253556363636335,10,10
10,10020.175759999996,6447.065238095238,8882.5,36.57142857142857,28,100,7.413134047618927,10,10
999999,10139.680569749999,6191.88130605538,7087.629999999999,30.360665260665257,21.6,100,13.356036751896522,10,10
